index,name,datatype,source_node,source_property
332,UL23_20_VFD:I.Velocity,REAL,UL23_20_VFD_APF,velocity_tag_name
333,UL23_21_DISC_OIP,BOOL,UL23_21_DISC,aux_disconnect_closed_tag_name
334,UL23_21_TPE1_OIP,BOOL,UL23_21_TPE1,tag_name
335,UL23_21_VFD:I.ConnectionFaulted,BOOL,UL23_21_VFD_APF,connection_faulted_tag_name
336,UL23_21_VFD:I.DisconnectClosed,BOOL,UL23_21_VFD_APF,disconnect_closed_tag_name
337,UL23_21_VFD:I.Fault,BOOL,UL23_21_VFD_APF,fault_tag_name
338,UL23_21_VFD:I.KeypadHandMode,BOOL,UL23_21_VFD_APF,keypad_hand_mode_tag_name
339,UL23_21_VFD:I.OutputCurrent,REAL,UL23_21_VFD_APF,output_current_tag_name
340,UL23_21_VFD:I.OutputVoltage,REAL,UL23_21_VFD_APF,output_voltage_tag_name
341,UL23_21_VFD:I.Running,BOOL,UL23_21_VFD_APF,running_tag_name
342,UL23_21_VFD:I.SafeTorqueEnabled,BOOL,UL23_21_VFD_APF,safe_torque_enabled_tag_name
343,UL23_21_VFD:I.TripFaultCode,DINT,UL23_21_VFD_APF,trip_fault_code_tag_name
344,UL23_21_VFD:I.Velocity,REAL,UL23_21_VFD_APF,velocity_tag_name
345,UL23_22_DISC_OIP,BOOL,UL23_22_DISC,aux_disconnect_closed_tag_name
346,UL23_22_FIOM1_OIP,BOOL,UL23_22_FIOM1,pushbutton_tag_name
347,UL23_22_JR1_PB_OIP,BOOL,UL23_22_JR1,pushbutton_tag_name
348,UL23_22_TPE1_OIP,BOOL,UL23_22_TPE1,tag_name
349,UL23_22_VFD:I.ConnectionFaulted,BOOL,UL23_22_VFD_APF,connection_faulted_tag_name
350,UL23_22_VFD:I.DisconnectClosed,BOOL,UL23_22_VFD_APF,disconnect_closed_tag_name
351,UL23_22_VFD:I.Fault,BOOL,UL23_22_VFD_APF,fault_tag_name
352,UL23_22_VFD:I.KeypadHandMode,BOOL,UL23_22_VFD_APF,keypad_hand_mode_tag_name
353,UL23_22_VFD:I.OutputCurrent,REAL,UL23_22_VFD_APF,output_current_tag_name
354,UL23_22_VFD:I.OutputVoltage,REAL,UL23_22_VFD_APF,output_voltage_tag_name
355,UL23_22_VFD:I.Running,BOOL,UL23_22_VFD_APF,running_tag_name
356,UL23_22_VFD:I.SafeTorqueEnabled,BOOL,UL23_22_VFD_APF,safe_torque_enabled_tag_name
357,UL23_22_VFD:I.TripFaultCode,DINT,UL23_22_VFD_APF,trip_fault_code_tag_name
358,UL23_22_VFD:I.Velocity,REAL,UL23_22_VFD_APF,velocity_tag_name
359,UL23_23_DISC_OIP,BOOL,UL23_23_DISC,aux_disconnect_closed_tag_name
360,UL23_23_TPE1_OIP,BOOL,UL23_23_TPE1,tag_name
361,UL23_23_VFD:I.ConnectionFaulted,BOOL,UL23_23_VFD_APF,connection_faulted_tag_name
362,UL23_23_VFD:I.DisconnectClosed,BOOL,UL23_23_VFD_APF,disconnect_closed_tag_name
363,UL23_23_VFD:I.Fault,BOOL,UL23_23_VFD_APF,fault_tag_name
364,UL23_23_VFD:I.KeypadHandMode,BOOL,UL23_23_VFD_APF,keypad_hand_mode_tag_name
365,UL23_23_VFD:I.OutputCurrent,REAL,UL23_23_VFD_APF,output_current_tag_name
366,UL23_23_VFD:I.OutputVoltage,REAL,UL23_23_VFD_APF,output_voltage_tag_name
367,UL23_23_VFD:I.Running,BOOL,UL23_23_VFD_APF,running_tag_name
368,UL23_23_VFD:I.SafeTorqueEnabled,BOOL,UL23_23_VFD_APF,safe_torque_enabled_tag_name
369,UL23_23_VFD:I.TripFaultCode,DINT,UL23_23_VFD_APF,trip_fault_code_tag_name
370,UL23_23_VFD:I.Velocity,REAL,UL23_23_VFD_APF,velocity_tag_name
371,UL23_24_DISC_OIP,BOOL,UL23_24_DISC,aux_disconnect_closed_tag_name
372,UL23_24_LPE1_MEASUREMENT,REAL,UL23_24_LPE1,tag_name
